a 阿
wea 唯一,蔚
weal 歪幼
weigh 称重
weir 威尔
wer 傲儿
whelm 淹没
where 哪里
wi 薇
wor 我
xi 戏
ya 亚,艺
zag 急转
zen 人
zzle 揍
